pressure	magvolt	genvolt	speed
1.4216	-2.0050	-0.7829	-0.1350
1.4216	2.0584	-0.9050	-0.0812
-1.5136	-2.0002	0.6945	-0.0129
1.4314	2.0584	-0.6070	0.0897
1.4314	2.0584	0.8508	0.1556
-1.5234	-1.9953	1.0608	0.1849
1.4363	2.0682	-0.4972	0.1996
-1.5283	-2.0002	0.9632	0.1874
1.4412	2.0584	-0.4703	0.2582
1.4510	-2.0002	0.9754	0.2558
-1.5332	-2.0002	-0.4703	0.2997
1.4265	2.0584	-0.6657	0.2509
1.4314	2.0584	0.9778	0.2484
-1.5234	-2.0050	1.1805	0.2948
-1.5332	-2.0197	-0.4239	0.3070
-1.5429	-2.0002	-0.6559	0.2558
1.4558	-1.9757	-0.6974	0.2387
1.4558	-2.0002	-0.7878	0.1483
-1.5381	-2.0099	-0.8317	0.0335
-1.5381	-2.0002	-0.8293	0.0775
1.4265	-2.0002	-0.8073	0.1386
-1.5478	-2.0002	-0.8464	0.0751
1.4265	2.0584	-0.8805	0.0116
1.4314	-2.0050	0.6677	-0.0446
1.4314	-2.0002	-0.6608	0.0409
1.4314	2.0536	-0.8244	0.0531
1.4412	2.0584	0.8044	0.1263
-1.5283	-1.9953	1.0535	0.1434
1.4558	2.0584	-0.4972	0.2338
1.4412	-2.0002	0.9583	0.2313
-1.5381	-2.0050	-0.4874	0.2704
1.4265	2.0584	-0.6779	0.2387
-1.5332	-2.0002	0.9729	0.2411
-1.5332	-2.0002	-0.4532	0.2851
1.4314	-2.0197	-0.6730	0.2900
-1.5429	2.0584	-0.7316	0.2191
1.4412	2.0633	0.8557	0.1703
1.4412	-2.0002	0.9607	0.1092
1.4314	2.0389	-0.5924	0.0848
-1.5136	2.0877	0.8191	0.0995
1.4510	2.0829	1.0438	0.1556
1.4558	2.0731	1.0853	0.1849
1.4558	2.0780	1.1219	0.2191
1.4656	-2.0050	1.1439	0.2509
1.4461	-2.0002	-0.4410	0.2607
-1.5381	2.0584	-0.6632	0.2533
1.4461	-2.0050	0.9851	0.3144
1.4461	-1.9757	-0.4385	0.3168
1.4314	2.0487	-0.6437	0.2704
1.4461	2.0584	1.0389	0.3339
1.4510	-2.0002	1.2196	0.3241
-1.5332	2.0633	-0.3897	0.3046
1.4656	2.0584	1.0608	0.3339
1.4461	2.0584	1.2562	0.3437
-1.5185	-2.0002	1.2635	0.3046
1.4412	2.0633	-0.3824	0.3657
1.4412	2.0682	1.0608	0.3364
-1.5185	2.0682	1.2684	0.3022
-1.5283	2.0584	1.2684	0.3803
-1.5136	-2.0050	1.2684	0.2924
-1.5332	-1.9953	-0.4117	0.2851
-1.5381	-2.0002	-0.7291	0.1752
1.4265	-2.0002	-0.8537	-0.0226
-1.5381	2.0633	-0.9440	-0.0763
1.4412	2.0584	0.5285	-0.1472
1.4461	2.0584	0.7092	-0.1423
-1.5234	2.0584	0.7190	-0.1374
1.4461	2.0682	0.7825	-0.1350
-1.5283	-1.9855	0.8362	-0.0422
-1.5332	2.0584	-0.6388	0.0213
1.4314	2.0584	0.7043	-0.0275
1.4558	2.0780	0.7800	-0.0544
1.4461	2.0633	0.7409	-0.1520
-1.5234	2.0584	0.7971	-0.0690
1.4412	-2.0050	0.8899	-0.0299
1.4314	2.0584	-0.5924	0.0580
1.4461	-2.0002	0.8142	0.1434
-1.5381	-2.0002	-0.5484	0.1630
-1.5429	-1.9855	-0.7267	0.2191
1.4265	-1.9953	-0.7267	0.2020
-1.5381	2.0682	-0.7487	0.2020
1.4314	2.0633	0.8777	0.1605
1.4558	-2.0002	1.0853	0.1630
-1.5283	-2.0002	-0.4874	0.1459
1.4168	2.0584	-0.6950	0.2069
1.4461	2.0536	0.9363	0.2509
1.4461	-1.9757	1.1463	0.2753
1.4558	-1.9855	-0.4263	0.2704
-1.5381	2.0682	-0.6510	0.2704
1.4412	-2.0002	1.0193	0.3486
-1.5381	-2.0002	-0.4288	0.3193
-1.5332	-2.0002	-0.6486	0.2777
1.4412	2.0584	-0.6730	0.2948
-1.5185	2.0584	0.9510	0.2900
1.4461	-2.0050	1.1292	0.2191
1.4363	2.0829	-0.4898	0.2143
1.4363	-2.0002	0.8972	0.1556
-1.5332	-2.0050	-0.4972	0.2069
1.4363	-2.0050	-0.6950	0.1825
-1.5332	-2.0050	-0.7120	0.2411
1.4314	-2.0050	-0.7072	0.2704
1.4656	-1.9757	-0.6950	0.2777
1.4314	2.0389	-0.7096	0.2387
-1.5234	2.0633	0.9705	0.2655
-1.5185	2.0633	1.1952	0.3193
1.4461	2.0584	1.2318	0.3070
-1.5185	-1.9953	1.2000	0.2411
1.4265	2.0584	-0.4532	0.1972
-1.5185	-1.9904	0.9461	0.2362
-1.5332	2.0633	-0.5045	0.1996
-1.5185	2.0584	0.8728	0.1874
1.4558	2.0877	0.9168	-0.0031
-1.5234	-1.9757	0.7898	-0.0617
1.4363	-2.0099	-0.7194	-0.1643
-1.5381	2.0536	-0.9611	-0.1374
-1.5332	2.0487	0.4943	-0.1594
-1.5185	2.0584	0.6335	-0.2546
-1.5283	2.0682	0.5749	-0.3401
1.4363	-2.0002	0.4919	-0.3621
-1.5381	2.0682	-0.9196	-0.4011
1.4461	-2.0002	0.2965	-0.3669
-1.5332	-1.9953	-0.9294	-0.3132
1.4265	-1.9806	-1.0954	-0.3230
1.4265	-2.0002	-1.1321	-0.3401
-1.5478	2.0633	-1.1247	-0.3157
1.4363	2.0633	0.4137	-0.2278
1.4363	-2.0002	0.6604	-0.1838
1.4314	2.0633	-0.7462	-0.1691
-1.5332	2.0633	0.6506	-0.0446
-1.5283	2.0584	0.8972	0.0580
1.4510	-2.0002	0.9558	0.0287
1.4363	2.0633	-0.5875	0.0360
1.4412	-2.0099	0.7922	0.0726
-1.5381	2.0633	-0.5777	0.1361
1.4558	-2.0002	0.8508	0.1752
1.4314	2.0682	-0.5216	0.2045
-1.5234	-1.9904	0.9387	0.2143
-1.5234	2.0584	-0.4801	0.2216
-1.5234	-1.9953	0.9558	0.1923
1.4363	-2.0099	-0.4898	0.2191
-1.5332	2.0633	-0.7780	0.0604
-1.5185	-2.0002	0.7165	0.0262
1.4363	2.0584	-0.6803	-0.0031
1.4412	2.0584	0.5383	-0.1447
-1.5429	2.0584	0.6897	-0.1984
-1.5381	2.0633	0.7605	-0.0983
1.4461	2.0584	0.7898	-0.1032
-1.5283	2.0584	0.7605	-0.0983
-1.5283	-2.0099	0.7043	-0.1838
1.4265	-2.0050	-0.7975	-0.2668
1.4119	2.0633	-1.0613	-0.3669
1.4314	-2.0002	0.3600	-0.3205
1.4607	-1.9806	-0.8122	-0.2131
-1.5381	-2.0002	-0.9343	-0.1154
-1.5429	-1.9953	-0.8903	0.0018
-1.5381	-2.0099	-0.8610	-0.0129
-1.5185	2.0780	-0.8537	0.0555
-1.5381	2.0633	0.6213	-0.0202
1.4656	-2.0002	0.6921	-0.1569
1.4314	-2.0099	-0.8244	-0.2522
-1.5381	2.0877	-1.0295	-0.3059
-1.5234	-2.0050	0.4894	-0.1740
1.4314	2.0584	-0.7755	-0.1179
-1.5332	-2.0197	0.5090	-0.2131
1.4314	2.0487	-0.8073	-0.2424
1.4412	2.0584	0.4577	-0.2131
1.4363	2.0584	0.6481	-0.1984
-1.5332	-2.0002	0.7434	-0.1301
1.4363	2.0780	-0.6583	-0.0275
-1.5136	-1.9757	0.7287	0.0165
1.4265	-2.0002	-0.5973	0.0384
1.4363	2.0584	-0.7804	0.1092
1.4461	2.0584	0.8313	0.1410
1.4461	-2.0050	1.0633	0.1654
-1.5283	2.0633	-0.4752	0.1874
-1.5136	-1.9660	0.9900	0.2509
-1.5234	-2.0002	-0.4776	0.2460
1.4363	2.0584	-0.7145	0.2460
-1.5234	2.0682	0.7776	0.0897
1.4461	-2.0002	0.8948	-0.0031
1.4314	-2.0099	-0.6681	-0.0031
1.4265	-2.0246	-0.9074	-0.0934
-1.5429	2.0633	-0.9001	-0.0348
1.4412	-1.9904	0.7312	0.0580
1.4314	-1.9953	-0.6046	0.1239
-1.5429	-2.0002	-0.7584	0.1361
1.4265	-1.9953	-0.7609	0.1898
-1.5381	2.0584	-0.7365	0.2118
1.4412	-2.0099	0.9070	0.2387
-1.5332	-2.0050	-0.4923	0.2313
1.4412	2.0584	-0.6998	0.2167
1.4607	2.0584	0.9412	0.1996
1.4461	-2.0002	1.1292	0.2265
-1.5234	2.0633	-0.4532	0.2802
-1.5234	-2.0050	1.0120	0.3022
-1.5332	2.0584	-0.4556	0.2704
-1.5185	-2.0099	0.9461	0.1849
1.4265	-2.0050	-0.5680	0.0751
1.4314	2.0829	-0.8830	-0.0177
-1.5332	2.0926	0.5944	-0.0983
1.4363	2.0584	0.8386	-0.0153
-1.5283	2.0584	0.9143	0.0384
-1.5381	-2.0002	0.9876	0.0604
-1.5429	-2.0002	-0.5729	0.0433
-1.5381	-2.0099	-0.8341	0.0433
-1.5332	-2.0002	-0.9392	-0.0886
-1.5381	-1.9953	-1.0173	-0.1545
1.4265	-1.9757	-1.0735	-0.2668
1.4265	2.0584	-1.1077	-0.3450
-1.5332	-2.0002	0.3673	-0.2839
1.4314	2.0829	-0.8293	-0.2278
-1.5283	-2.0050	0.5651	-0.1374
1.4363	-2.0002	-0.7072	-0.0519
-1.5381	2.0633	-0.8659	-0.0055
1.4510	2.0584	0.6945	0.0140
-1.5234	-2.0002	0.9143	0.0189
1.4314	2.0584	-0.5899	0.0897
-1.5234	2.0633	0.7873	0.1092
-1.5283	2.0584	0.9607	0.1068
-1.5234	2.0584	0.9729	0.0628
1.4461	-2.0050	0.8459	-0.0519
1.4558	-1.9904	-0.7243	-0.1594
1.4265	2.0584	-0.9587	-0.1545
1.4314	2.0584	0.6017	-0.1227
1.4412	-2.0002	0.8459	0.0213
-1.5381	-1.9806	-0.5973	0.0897
1.4314	-1.9806	-0.7755	0.1361
1.4363	-2.0002	-0.7731	0.1825
-1.5332	-2.0002	-0.7584	0.2069
1.4363	2.0633	-0.7389	0.2387
-1.5185	2.0633	0.9217	0.2582
-1.5381	2.0584	1.1341	0.2533
-1.5185	-2.0050	1.1659	0.2020
1.4314	-1.9904	-0.5020	0.1581
1.4265	-2.0050	-0.8195	0.0384
-1.5381	2.0877	-0.8805	0.0238
1.4412	-2.0002	0.7019	0.0287
-1.5283	-2.0002	-0.6193	0.0140
-1.5332	2.0633	-0.8000	0.0824
1.4412	-1.9757	0.7971	0.1117
1.4607	-2.0002	-0.6241	0.0775
1.4216	2.0584	-0.8561	-0.0397
-1.5283	-1.9953	0.7165	0.0189
-1.5429	-2.0002	-0.5851	0.0873
1.4363	-1.9806	-0.7755	0.1605
1.4363	2.0584	-0.7902	0.1434
-1.5332	2.0584	0.8337	0.1801
-1.5088	2.0877	1.0657	0.1849
-1.5283	-2.0002	1.1146	0.2216
-1.5332	-2.0002	-0.5020	0.1581
-1.5381	2.0682	-0.8244	0.0751
-1.5332	-2.0002	0.5895	-0.1350
-1.5332	2.0584	-0.7926	-0.1814
-1.5332	-1.9953	0.4113	-0.2522
1.4265	2.0536	-0.9050	-0.3205
1.4363	2.0584	0.2941	-0.3865
1.4412	2.0487	0.4772	-0.3328
1.4461	-2.0002	0.6213	-0.2619
1.4216	2.0633	-0.7487	-0.1056
1.4363	-2.0050	0.6848	-0.0348
1.4412	2.0536	-0.6266	0.0067
-1.5234	2.0584	0.8044	0.0995
1.4363	-2.0050	1.0364	0.1410
1.4363	2.0584	-0.4972	0.1703
-1.5234	2.0584	0.9485	0.1752
1.4412	2.0584	1.1341	0.2265
-1.5381	2.0633	1.1585	0.2777
1.4461	2.0584	1.1927	0.2973
-1.5185	2.0487	1.1952	0.2729
-1.5283	-2.0050	1.1976	0.2216
-1.5234	-2.0002	-0.4337	0.2900
-1.5283	2.0584	-0.7047	0.2069
1.4412	-2.0002	0.7580	0.0726
1.4168	-2.0002	-0.7072	-0.0666
1.4314	-2.0246	-0.9294	-0.1325
-1.5429	2.0584	-0.9172	-0.0519
1.4412	-2.0197	0.7019	0.0287
1.4265	-2.0002	-0.6022	0.0702
1.4265	-2.0050	-0.7707	0.0970
-1.5381	-2.0002	-0.7536	0.1556
1.4314	-1.9953	-0.7414	0.2020
-1.5381	-2.0050	-0.7389	0.2411
-1.5381	-2.0050	-0.7218	0.2558
1.4363	-1.9806	-0.7096	0.2533
-1.5381	2.0682	-0.7340	0.1849
1.4461	-1.9953	0.8899	0.1581
1.4363	2.0584	-0.5313	0.1337
-1.5234	-1.9757	0.8753	0.1190
-1.5185	2.0633	-0.5240	0.1679
1.4363	2.0584	0.9143	0.1923
-1.5136	-2.0002	1.0608	0.1630
-1.5429	2.0633	-0.5191	0.1386
-1.5381	2.0584	0.8166	0.1068
1.4461	2.0633	0.8704	-0.0006
-1.5234	2.0633	0.7751	-0.0983
1.4412	-2.0002	0.7800	-0.1032
-1.5185	2.1073	-0.7365	-0.1984
1.4558	2.0780	0.5285	-0.1472
-1.5283	-2.0002	0.6604	-0.1789
1.4558	2.0731	-0.7682	-0.2424
1.4461	2.0682	0.5114	-0.1691
-1.5283	-2.0050	0.7043	-0.1301
1.4363	-2.0050	-0.6925	-0.1056
1.4119	2.0682	-0.8708	0.0042
1.4265	-2.0002	0.7214	0.0531
-1.5381	-2.0002	-0.5899	0.1092
1.4265	-2.0050	-0.7511	0.1459
1.4314	-2.0050	-0.7658	0.1923
1.4314	-1.9953	-0.7340	0.2191
-1.5136	2.0975	-0.7169	0.2582
-1.5136	2.0584	0.9558	0.2558
-1.5185	-2.0002	1.1634	0.2289
1.4363	-2.0002	-0.4605	0.2216
-1.5332	-2.0099	-0.7682	0.0848
1.4265	-2.0002	-0.8659	0.0042
1.4363	-2.0050	-0.9367	-0.0397
1.4314	2.0584	-0.9465	-0.1301
1.4558	-1.9953	0.6628	0.0067
-1.5332	2.0682	-0.6363	-0.0031
-1.5283	-1.9953	0.8020	0.0702
1.4363	2.0487	-0.5460	0.1019
1.4656	-2.0002	0.8679	0.1141
1.4363	2.0584	-0.5362	0.1166
-1.5283	2.0536	0.9021	0.1581
